dataset,method,seed,beta,selected_raw,final_m,anchor_m,D_anchor,T_D,val_mse,test_mse,quality_met,original_seconds,added_anchor_seconds,accounted_seconds,state,id_fallback,budget_exhausted,compact,calibration_seconds,final_constraint_ma
dSprites,B3_full_downstream,42,1.0,64,64,64,0.0011661780774593353,0.0012827958852052689,0.0011661780774593353,0.001149588018655777,True,2678.323821544647,0.0,2678.323821544647,SUCCESS,False,False,False,0.0,
dSprites,B3_full_downstream,123,1.0,64,64,64,0.001138049766421318,0.00125185474306345,0.001138049766421318,0.0011252888143062593,True,2602.8799934387207,0.0,2602.8799934387207,SUCCESS,False,False,False,0.0,
dSprites,B3_full_downstream,777,1.0,64,64,64,0.0012045322060585022,0.0013249854266643524,0.0012045322060585022,0.0011939948399861653,True,2571.037334918976,0.0,2571.037334918976,SUCCESS,False,False,False,0.0,
dSprites,B3_full_downstream,2024,1.0,64,64,64,0.00116694313287735,0.001283637446165085,0.00116694313287735,0.001154283086458842,True,2635.245918750763,0.0,2635.245918750763,SUCCESS,False,False,False,0.0,
dSprites,B3_full_downstream,31337,1.0,64,64,64,0.0011734385192394257,0.0012907823711633684,0.0011734385192394257,0.001165797789891561,True,2457.131895542145,0.0,2457.131895542145,SUCCESS,False,False,False,0.0,
dSprites,B4_coarse,42,1.0,64,64,64,0.0011661780774593353,0.0012827958852052689,0.0011661780774593353,0.001149588018655777,True,750.9688410758972,0.0,750.9688410758972,SUCCESS,False,False,False,0.0,
dSprites,B4_coarse,123,1.0,64,64,64,0.001138049766421318,0.00125185474306345,0.001138049766421318,0.0011252888143062593,True,702.2340269088745,0.0,702.2340269088745,SUCCESS,False,False,False,0.0,
dSprites,B4_coarse,777,1.0,64,64,64,0.0012045322060585022,0.0013249854266643524,0.0012045322060585022,0.0011939948399861653,True,720.6051435470581,0.0,720.6051435470581,SUCCESS,False,False,False,0.0,
dSprites,B4_coarse,2024,1.0,64,64,64,0.00116694313287735,0.001283637446165085,0.00116694313287735,0.001154283086458842,True,648.2244968414307,0.0,648.2244968414307,SUCCESS,False,False,False,0.0,
dSprites,B4_coarse,31337,1.0,64,64,64,0.0011734385192394257,0.0012907823711633684,0.0011734385192394257,0.001165797789891561,True,697.7905130386353,0.0,697.7905130386353,SUCCESS,False,False,False,0.0,
